Date,Open,High,Low,Close,Adj Close,Volume
1987-10-22,909.770020,909.770020,909.770020,909.770020,909.770020,0
1987-10-23,875.880005,875.880005,875.880005,875.880005,875.880005,0
1987-10-26,812.239990,812.239990,812.239990,812.239990,812.239990,0
1987-10-27,819.830017,819.830017,819.830017,819.830017,819.830017,0
1987-10-28,806.239990,806.239990,806.239990,806.239990,806.239990,0
1987-10-29,738.210022,738.210022,738.210022,738.210022,738.210022,0
1987-10-30,755.039978,755.039978,755.039978,755.039978,755.039978,0
1987-11-02,784.989990,784.989990,784.989990,784.989990,784.989990,0
1987-11-03,789.710022,789.710022,789.710022,789.710022,789.710022,0
1987-11-04,763.559998,763.559998,763.559998,763.559998,763.559998,0
1987-11-05,755.070007,755.070007,755.070007,755.070007,755.070007,0
1987-11-06,751.049988,751.049988,751.049988,751.049988,751.049988,0
1987-11-09,753.840027,753.840027,753.840027,753.840027,753.840027,0
1987-11-10,749.630005,749.630005,749.630005,749.630005,749.630005,0
1987-11-11,710.229980,710.229980,710.229980,710.229980,710.229980,0
1987-11-12,690.340027,690.340027,690.340027,690.340027,690.340027,0
1987-11-13,703.489990,703.489990,703.489990,703.489990,703.489990,0
1987-11-16,691.270020,691.270020,691.270020,691.270020,691.270020,0
1987-11-17,668.369995,668.369995,668.369995,668.369995,668.369995,0
1987-11-18,639.570007,639.570007,639.570007,639.570007,639.570007,0
1987-11-19,647.219971,647.219971,647.219971,647.219971,647.219971,0
1987-11-20,661.900024,661.900024,661.900024,661.900024,661.900024,0
1987-11-23,673.239990,673.239990,673.239990,673.239990,673.239990,0
1987-11-24,695.609985,695.609985,695.609985,695.609985,695.609985,0
1987-11-25,705.119995,705.119995,705.119995,705.119995,705.119995,0
1987-11-26,705.119995,705.119995,705.119995,705.119995,705.119995,0
1987-11-27,708.330017,708.330017,708.330017,708.330017,708.330017,0
1987-11-30,708.330017,708.330017,708.330017,708.330017,708.330017,0
1987-12-01,693.000000,693.000000,693.000000,693.000000,693.000000,0
1987-12-02,674.950012,674.950012,674.950012,674.950012,674.950012,0
1987-12-03,667.059998,667.059998,667.059998,667.059998,667.059998,0
1987-12-04,660.580017,660.580017,660.580017,660.580017,660.580017,0
1987-12-07,649.640015,649.640015,649.640015,649.640015,649.640015,0
1987-12-08,651.890015,651.890015,651.890015,651.890015,651.890015,0
1987-12-09,664.919983,664.919983,664.919983,664.919983,664.919983,0
1987-12-10,687.549988,687.549988,687.549988,687.549988,687.549988,0
1987-12-11,690.210022,690.210022,690.210022,690.210022,690.210022,0
1987-12-14,710.909973,710.909973,710.909973,710.909973,710.909973,0
1987-12-15,710.869995,710.869995,710.869995,710.869995,710.869995,0
1987-12-16,697.780029,697.780029,697.780029,697.780029,697.780029,0
1987-12-17,716.340027,716.340027,716.340027,716.340027,716.340027,0
1987-12-18,721.880005,721.880005,721.880005,721.880005,721.880005,0
1987-12-21,743.080017,743.080017,743.080017,743.080017,743.080017,0
1987-12-22,747.729980,747.729980,747.729980,747.729980,747.729980,0
1987-12-23,780.219971,780.219971,780.219971,780.219971,780.219971,0
1987-12-24,802.809998,802.809998,802.809998,802.809998,802.809998,0
1987-12-25,802.809998,802.809998,802.809998,802.809998,802.809998,0
1987-12-28,801.200012,801.200012,801.200012,801.200012,801.200012,0
1987-12-29,816.210022,816.210022,816.210022,816.210022,816.210022,0
1987-12-30,816.210022,816.210022,816.210022,816.210022,816.210022,0
1987-12-31,816.210022,816.210022,816.210022,816.210022,816.210022,0
1988-01-01,816.210022,816.210022,816.210022,816.210022,816.210022,0
1988-01-04,832.320007,832.320007,832.320007,832.320007,832.320007,0
1988-01-05,820.960022,820.960022,820.960022,820.960022,820.960022,0
1988-01-06,833.599976,833.599976,833.599976,833.599976,833.599976,0
1988-01-07,850.859985,850.859985,850.859985,850.859985,850.859985,0
1988-01-08,878.020020,878.020020,878.020020,878.020020,878.020020,0
1988-01-11,863.969971,863.969971,863.969971,863.969971,863.969971,0
1988-01-12,870.770020,870.770020,870.770020,870.770020,870.770020,0
1988-01-13,851.169983,851.169983,851.169983,851.169983,851.169983,0
1988-01-14,820.770020,820.770020,820.770020,820.770020,820.770020,0
1988-01-15,837.780029,837.780029,837.780029,837.780029,837.780029,0
1988-01-18,837.780029,837.780029,837.780029,837.780029,837.780029,0
1988-01-19,863.000000,863.000000,863.000000,863.000000,863.000000,0
1988-01-20,867.989990,867.989990,867.989990,867.989990,867.989990,0
1988-01-21,878.780029,878.780029,878.780029,878.780029,878.780029,0
1988-01-22,865.130005,865.130005,865.130005,865.130005,865.130005,0
1988-01-25,850.429993,850.429993,850.429993,850.429993,850.429993,0
